variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3
gov_motive_affiliation_intimacy,1993,Governor affiliation- intimacy motive score,"Frequency of motive imagery relating to affiliation-intimacy ('desire for close relations with other humans') used in inaugural address, expressed in terms of frequency per 1000 words.","Ferguson, Margaret R., and Jay Barth. 'Governors in the Legislative Arena: The Importance of Personality in Shaping Success.' Political Psychology 23.4 (2002): 787–808.",government,NA,NA,NA,NA,NA,NA
sen_elections_this_year,1937-2011,State senate elections this year,"Dummy: 1 = 19% or more of seats up, 0 = Fewer than 19% up","Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
sen_dem_in_sess,1937-2015,Number of Democratic state senators,Total number of Democrats in the state senate this session,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1. Book of the States (https://knowledgecenter.csg.org/kc/category/content- type/content-type/book-states) See chapter 3, Table 3.3 for information about legislators; 2011 to 2015",government,NA,NA,NA,NA,NA,NA
sen_rep_in_sess,1937-2011,Number of Republican state senators,Total number of Republicans in the state senate this session,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
sen_ind_in_sess,1937-2011,Number of non- major-party state senators,Total number of non-Democrats or Republicans in the state senate this session,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
sen_vac_in_sess,1937-2011,Number of vacant senate seats,Number of vacant seats in the state senate this session,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
sen_tot_in_sess,1937-2015,Total number of state senators,Total number of state senators this session,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1
Book of the States (https://knowledgecenter.csg.org/kc/category/content- type/content-type/book-states) See chapter 3, Table 3.3 for information about legislators; 2011 to 2015",government,NA,NA,NA,NA,NA,NA
sen_cont_alt,1937-2011,Party in control of state senate,"1 = Democrats, 0 = Republicans, .5 = split","Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
hs_elections_this_year,1937-2011,State house elections this year,"Dummy: 1 = 19% or more of seats up, 0 = fewer than 19% up","Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
hs_dem_in_sess,1937-2015,Number of Democratic state representatives,Total number of Democrats in the state house this session,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1
Book of the States (https://knowledgecenter.csg.org/kc/category/content- type/content-type/book-states) See chapter 3, Table 3.3 for information about legislators; 2011 to 2015",government,NA,NA,NA,NA,NA,NA
hs_rep_in_sess,1937-2011,Number of Republican state representatives,Total number of Republicans in the state house this session,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
hs_ind_in_sess,1937-2011,Number of non- major-party state representatives,Total number of non-Democrats or Republicans in the state house this session,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
hs_vac_in_sess,1937-2011,Number of vacant house seats,Number of vacant seats in the state house this session,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
hs_tot_in_sess,1937-2015,Total number of state representatives,Total number of state house members this session,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1
Book of the States (https://knowledgecenter.csg.org/kc/category/content- type/content-type/book-states) See chapter 3, Table 3.3 for information about legislators; 2011 to 2015",government,NA,NA,NA,NA,NA,NA
hs_cont_alt,1937-2011,Party in control of state senate,"1 = Democrats, 0 = Republicans, .5 = tie","Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
veto_override_prop,1937-2011,Threshold for a veto override,Proportion of legislators needed to override governor veto,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
veto_override_prop_elected,1937-2011,Who does override proportion pertain to?,"Who does override proportion pertain to? Dummy: 1 = elected senators, 0 = present senators","Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
leg_cont,1937-2011,Democrats’ power of the legislature,"1 = Democrats control both chambers; 0 = Democrats control neither chamber; .5 = Democrats control one chamber, .25 = Democrats split control of one chamber, .75 = Democrats control one chamber and split control of the other","Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
split_leg,1937-2011,Is there a split legislature?,"Dummy: 1 = chambers are not controlled by same party, 0 = else","Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
divided_gov,1937-2011,Is there divided government?,"Dummy: 1 = two chambers of legislature and governorship are not all controlled by same party, 0 = same party controls all three institutions","Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
sen_dem_prop_all,1937-2011,Proportion of Democrats in the senate,Proportion of state senate seats held by Democrats,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
sen_rep_prop_all,1937-2011,Proportion of Republicans in the senate,Proportion of state senate seats held by Republicans,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
hs_dem_prop_all,1937-2011,Proportion of Democrats in the house,Proportion of state house seats held by Democrats,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
hs_rep_prop_all,1937-2011,Proportion of Republicans in the house,Proportion of state house seats held by Republicans,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
per_leg_of_govs_pty,1937-2011,Percent of legislature from governor’s party,Percent of legislature across the two chambers that are of the same party as the governor,"Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
dem_veto_proof,1937-2011,Do Democrats have enough members in both chambers to override a governor’s veto?,"Dummy: 1 = yes, 0 = no","Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
rep_veto_proof,1937-2011,Do Republicans have enough members in both chambers to override a governor’s veto?,"Dummy: 1 = yes, 0 = no","Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
dem_unified,1937-2011,Is there a unified Democratic government?,"Dummy: 1 = Democrats control both legislative chambers and governorship, 0 = else","Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
rep_unified,1937-2011,Is there a unified Republican government?,"Dummy: 1 = Republicans control both legislative chambers and governorship, 0 = else","Klarner, Carl, 2013, 'State Partisan Balance Data, 1937–2011', https://doi.org/10.7910/DVN/LZHMG3, Harvard Dataverse, V1",government,NA,NA,NA,NA,NA,NA
hou_chamber,1993-2016,State house ideological median,State house ideological median. Scale is -1 (liberal) to +1 (conservative).,"Shor, Boris and Nolan McCarty. 'The Ideological Mapping of American Legislatures.' The American Political Science Review 105.3 (2011): 530–
551. http://americanlegislatures.com/data/",government,NA,NA,NA,NA,NA,NA
sen_chamber,1993-2016,State senate ideological median,State senate ideological median. Scale is -1 (liberal) to +1 (conservative).,"Shor, Boris and Nolan McCarty. 'The Ideological Mapping of American Legislatures.' The American Political Science Review 105.3 (2011): 530–
551. http://americanlegislatures.com/data/",government,NA,NA,NA,NA,NA,NA
hou_dem,1993-2016,State house Democratic party ideological median,State house Democratic party ideological median. Scale is -1 (liberal) to +1 (conservative).,"Shor, Boris and Nolan McCarty. 'The Ideological Mapping of American Legislatures.' The American Political Science Review 105.3 (2011): 530–
551. http://americanlegislatures.com/data/",government,NA,NA,NA,NA,NA,NA
hou_rep,1993-2016,State house Republican party ideological median,State house Republican party ideological median. Scale is -1 (liberal) to +1 (conservative).,"Shor, Boris and Nolan McCarty. 'The Ideological Mapping of American Legislatures.' The American Political Science Review 105.3 (2011): 530–
551. http://americanlegislatures.com/data/",government,NA,NA,NA,NA,NA,NA
hou_majority,1993-2016,State house majority party ideological median,State house majority party ideological median. Scale is -1 (liberal) to +1 (conservative).,"Shor, Boris and Nolan McCarty. 'The Ideological Mapping of American Legislatures.' The American Political Science Review 105.3 (2011): 530–
551. http://americanlegislatures.com/data/",government,NA,NA,NA,NA,NA,NA
sen_dem,1993-2016,State senate Democratic party ideological median,State senate Democratic party ideological median. Scale is -1 (liberal) to +1 (conservative).,"Shor, Boris and Nolan McCarty. 'The Ideological Mapping of American Legislatures.' The American Political Science Review 105.3 (2011): 530–
551. http://americanlegislatures.com/data/",government,NA,NA,NA,NA,NA,NA
sen_rep,1993-2016,State senate Republican party ideological median,State senate Republican party ideological median. Scale is -1 (liberal) to +1 (conservative).,"Shor, Boris and Nolan McCarty. 'The Ideological Mapping of American Legislatures.' The American Political Science Review 105.3 (2011): 530–
551. http://americanlegislatures.com/data/",government,NA,NA,NA,NA,NA,NA
sen_majority,1993-2016,State senate majority party ideological median,State senate majority party ideological median. Scale is -1 (liberal) to +1 (conservative).,"Shor, Boris and Nolan McCarty. 'The Ideological Mapping of American Legislatures.' The American Political Science Review 105.3 (2011): 530–
551. http://americanlegislatures.com/data/",government,NA,NA,NA,NA,NA,NA
h_diffs,1993-2016,Distance between party medians in state house,Distance between party medians in state house (the authors’ preferred measure of polarization).,"Shor, Boris and Nolan McCarty. 'The Ideological Mapping of American Legislatures.' The American Political Science Review 105.3 (2011): 530–
551. http://americanlegislatures.com/data/",government,NA,NA,NA,NA,NA,NA
s_diffs,1993-2016,Distance between party medians in state senate,Distance between party medians in state senate (the authors’ preferred measure of polarization).,"Shor, Boris and Nolan McCarty. 'The Ideological Mapping of American Legislatures.' The American Political Science Review 105.3 (2011): 530–
551. http://americanlegislatures.com/data/",government,NA,NA,NA,NA,NA,NA
h_distance,1993-2016,Average ideological distance between any two members in state house,"Average ideological distance between any two members in state house. This is an alternative, party-free, measure of polarization.","Shor, Boris and Nolan McCarty. 'The Ideological Mapping of American Legislatures.' The American Political Science Review 105.3 (2011): 530–
551. http://americanlegislatures.com/data/",government,NA,NA,NA,NA,NA,NA
s_distance,1993-2016,Average ideological distance between any two members in state senate,"Average ideological distance between any two members in state senate. This is an alternative, party-free, measure of polarization.","Shor, Boris and Nolan McCarty. 'The Ideological Mapping of American Legislatures.' The American Political Science Review 105.3 (2011): 530–
551. http://americanlegislatures.com/data/",government,NA,NA,NA,NA,NA,NA
h_dem_sd,1993-2016,Democratic party heterogeneity in state house,Democratic party heterogeneity in state house,"Shor, Boris and Nolan McCarty. 'The Ideological Mapping of American Legislatures.' The American Political Science Review 105.3 (2011): 530–
551. http://americanlegislatures.com/data/",government,NA,NA,NA,NA,NA,NA
